class,hotelname,PARK,location,SEASON,daterange,singlerate,doubleRate,tripleRate,,
2,Tarangire Osupuko Lodge (WMA),Tarangire,Tarangire,High,"1st Jun to 31st Oct, 15 Dec to 31 Mar",189.45,318.9,473.35,,
2,Tarangire Osupuko Lodge (WMA),Tarangire,Tarangire,Low,"01 Apr to 31 May, 01 Nov to 14 Dec",163.45,266.9,395.35,,
3,Lake Burunge Baobab Tented Lodge – Adventure (tents) (WMA),Tarangire,Tarangire,Peak,"1 Jan - 31 Mar, 01 Jun - 31 Oct, 16 Dec - 31 Dec",263.45,398.9,662.35,,
3,Lake Burunge Baobab Tented Lodge – Adventure (tents) (WMA),Tarangire,Tarangire,Shoulder,1 Nov - 15 Dec,239.45,364.9,604.35,,
3,Lake Burunge Baobab Tented Lodge – Adventure (tents) (WMA),Tarangire,Tarangire,Low,1 Apr - 31 May,214.45,332.9,547.35,,
3,Tarangire Simba Lodge (WMA),Tarangire,Tarangire,Peak,"Jun - Oct, 16 Dec to 31 Dec",254.45,381.9,564.35,,
3,Tarangire Simba Lodge (WMA),Tarangire,Tarangire,High,"Jan - Mar, 1 Nov - 15 Dec",231.45,346.9,511.35,,
3,Tarangire Simba Lodge (WMA),Tarangire,Tarangire,Low,Apr - May,199.45,281.9,414.35,,
4,Lake Burunge Baobab Tented Lodge – Adventure (Bungalow) (WMA),Tarangire,Tarangire,Peak,"1 Jan - 31 Mar, 01 Jun - 31 Oct, 16 Dec - 31 Dec",442.45,474.9,603.35,,
4,Lake Burunge Baobab Tented Lodge – Adventure (Bungalow) (WMA),Tarangire,Tarangire,Shoulder,1 Nov - 15 Dec,400.45,432.9,550.85,,
4,Lake Burunge Baobab Tented Lodge – Adventure (Bungalow) (WMA),Tarangire,Tarangire,Low,1 Apr - 31 May,358.45,390.9,498.35,,
4,Mbali Mbali Tarangire River Camp ( Safari tent / Family Safari tent) (WMA),Tarangire,Tarangire,Peak,"Jul - Oct, 21 Dec - 31 Dec",275.45,412.9,544.35,,
4,Mbali Mbali Tarangire River Camp ( Safari tent / Family Safari tent) (WMA),Tarangire,Tarangire,High,"1 Jan - 28 Feb, 1 Jun -30 Jun",249.45,398.9,532.35,,
4,Mbali Mbali Tarangire River Camp ( Safari tent / Family Safari tent) (WMA),Tarangire,Tarangire,Shoulder,"Mar, 1 Nov - 20 Dec",230.45,382.9,520.35,,
4,Mbali Mbali Tarangire River Camp ( Safari tent / Family Safari tent) (WMA),Tarangire,Tarangire,Low,Apr - May,166.45,314.9,442.35,,
5,Tarangire Safari Lodge (Inside),Tarangire,Tarangire,Peak,"Jan - Mar, Jun - Dec",339.9,559.8,839.7,,
5,Tarangire Safari Lodge (Inside),Tarangire,Tarangire,Low,April 1 - May 31,224.9,329.8,494.7,,
5,Tarangire Sopa Lodge (inside),Tarangire,Tarangire,Peak,"01 July - 31 Oct , 22 Dec to 01 Jan",315.9,515.8,686.7,,
5,Tarangire Sopa Lodge (inside),Tarangire,Tarangire,Shouldre,"02 Jan - 31 Mar, 01 Jun - 30 Jun, 01 Nov- 21 Dec",283.9,466.8,623.7,,
5,Tarangire Sopa Lodge (inside),Tarangire,Tarangire,Low,01 Apr - 31 May,296.9,332.8,453.7,,
6,Tarangire Kuro Treetops Lodge (Inside),Tarangire,Tarangire,Peak,"01 Jul - 31st Oct, 20 Dec to 31 Dec",1014.9,1319.8,1861.3,,
6,Tarangire Kuro Treetops Lodge (Inside),Tarangire,Tarangire,High,"Jan- Mar, Jun, 1 Nov - 19 Dec",909.9,1187.8,1676.5,,
6,Tarangire Kuro Treetops Lodge (Inside),Tarangire,Tarangire,Low,Apr - May,697.9,923.8,1306.9,,
6,Elewana Tarangire Treetops (Tree House) (WMA),Tarangire,Tarangire,Peak,"1 July - 31 Oct, 20 Dec - 03 Jan",1029.45,1396.9,1601.35,,
6,Elewana Tarangire Treetops (Tree House) (WMA),Tarangire,Tarangire,High,"4 Jan - 31 Mar, 1 Jun - 30 Jun, 1 Nov - 19 Dec",871.45,1186.9,1363.35,,
6,Elewana Tarangire Treetops (Tree House) (WMA),Tarangire,Tarangire,Low,1 Apr - 31 May,638.45,874.9,1013.35,,
3,Ngorongoro Kuhama Camp,Ngorongoro,Ngorongoro,Peak,"01 Jan - 31 Mar, 01 July - 31 Oct, 1 Dec- 31 Dec",238,358,537,,
3,Ngorongoro Kuhama Camp,Ngorongoro,Ngorongoro,Low,01 Nov - 30 Nov ,238,346,519,,
3,Ngorongoro Marera Mountain View Lodge (outside),Ngorongoro,Ngorongoro,Peak,01 July – 15th Mar ,182,292,385,,
3,Ngorongoro Marera Mountain View Lodge (outside),Ngorongoro,Ngorongoro,Low,16 Mar– 30 Jun,171,275,363,,
4,Angata Ngorongoro Camp,Ngorongoro,Ngorongoro,Peak,"10th Dec - 21 Mar, 15th Jun - 14th Sept",308,418,458,,
4,Angata Ngorongoro Camp,Ngorongoro,Ngorongoro,Low,"1st Apr - 14th Jun, 15th Sept - 09th Dec",268,368,403,,
4,Ngorongoro Tortilis Camp,Ngorongoro,Ngorongoro,Peak,"Jun - Oct, 15 Dec - 31 Dec",292,472,687,,
4,Ngorongoro Tortilis Camp,Ngorongoro,Ngorongoro,High,"Jan, Feb, Jun",252,392,567,,
4,Ngorongoro Tortilis Camp,Ngorongoro,Ngorongoro,Low,"Mar - May, 1 Nov- 14 Dec",177,342,507,,
5,Acacia Ngorongoro Luxury Camp,Ngorongoro,Ngorongoro,Peak,"1 Dec-29 Feb , 1 Jun to 31 Oct ",384,558,666,,
5,Acacia Ngorongoro Luxury Camp,Ngorongoro,Ngorongoro,Low,"1 Mar  – May 31, 1 Nov – 30 Nov ",310,390,486,,
5,Ngorongoro Oldeani Mountain Lodge (Standard Room),Ngorongoro,Ngorongoro,Peak,"1 Jul - 31 Oct, 20 Dec to 31 Dec",510,640,896.6,,
5,Ngorongoro Oldeani Mountain Lodge (Standard Room),Ngorongoro,Ngorongoro,High,"Jan- Mar , Jun, 1 Nov - 19 Dec",457,574,804.2,,
5,Ngorongoro Oldeani Mountain Lodge (Standard Room),Ngorongoro,Ngorongoro,Low,Apr - May,299,376,527,,
